scaffold,count
c1c[nH]nn1,1
S=c1[nH]ccs1,1
S=c1[nH]cc[nH]1,1
O=c1nccc[nH]1,1
O=c1cno[nH]1,1
O=c1cncco1,1
O=c1ccocc1,1
c1ccc(NCCc2cccc3ncccc23)cc1,1
C1=Cc2cccn2C1,1
C1=CON=CN1,1
C1=COCCO1,1
C1=COCC1,1
C1=COC=NN1,1
C1=COC1,1
C1=CNON=N1,1
C1=CC2CCC2C1,1
C1=CNOC=C1,1
C1=CNN=CN1,1
C1=CNCC=N1,1
c1no[nH]1,1
C1=CNC=NC1,1
C1=CNC=CN1,1
C1=Cc2ncccc21,1
C1=Cc2nccnc2C1,1
c1ccc2[nH]ccc2c1,1
C1=CC2CCC2=N1,1
c1ccc2sccc2c1,1
c1ccc2ccn-2cc1,1
c1ccc2c(c1)sc1ccccc12,1
C1=CC2C=NC=C12,1
c1ccc2c(c1)[nH]c1ccccc12,1
C1CC1.c1ccc2ncccc2c1,1
c1ccc2c(c1)CC(c1cccc3ncccc13)c1ccccc1-2,1
c1ccc2[nH]nnc2c1,1
C1=CC2=C1CC=N2,1
c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,1
c1ccc(Oc2ccc(-c3cccc4ncccc34)cc2)cc1,1
c1ccc(Nc2ccccc2)cc1,1
C1=CC2(C=C2)CC1,1
